form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,analysis_tag,source,page,language_id
komnungthangtampak278,mu,2.sg.3.pl.nfut.neg,mu-mak-ai-che,Σ-mak-ai-che,Σ+mak+ai+che,Σ m a k ai tʃ e,Σ + m a k + ai + tʃ e,unspecified,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak279,mu,2.pl.3.sg.nfut.neg,mu-mak-chui,Σ-mak-chui,Σ+mak+chui,Σ m a k tʃ ui,Σ + m a k + tʃ ui,unspecified,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak280,mu,2.pl.3.sg.nfut.neg,mu-mak-chei,Σ-mak-chei,Σ+mak+chei,Σ m a k tʃ ei,Σ + m a k + tʃ ei,dialect_var,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak281,mu,2.pl.3.pl.nfut.neg,mu-mak-ai-chui,Σ-mak-ai-chui,Σ+mak+ai+chui,Σ m a k ai tʃ ui,Σ + m a k + ai + tʃ ui,unspecified,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak282,mu,2.pl.3.pl.nfut.neg,mu-mak-ai-chei,Σ-mak-ai-chei,Σ+mak+ai+chei,Σ m a k ai tʃ ei,Σ + m a k + ai + tʃ ei,dialect_var,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak283,se,3.sg.nfut.neg,se-mak,Σ-mak,Σ+mak,Σ m a k,Σ + m a k,unspecified,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak284,se,3.pl.nfut.neg,se-mak-ai,Σ-mak-ai,Σ+mak+ai,Σ m a k ai,Σ + m a k + ai,unspecified,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak285,mu,3.sg.1.sg.nfut.neg,na-mu-mak,na-Σ-mak,na+Σ+mak,n a Σ m a k,n a + Σ + m a k,unspecified,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak286,mu,3.sg.1.pl.excl.nfut.neg,na-mu-mak,na-Σ-mak,na+Σ+mak,n a Σ m a k,n a + Σ + m a k,unspecified,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak287,mu,3.sg.1.pl.incl.nfut.neg,na-mu-mak,na-Σ-mak,na+Σ+mak,n a Σ m a k,n a + Σ + m a k,unspecified,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak288,mu,3.pl.1.sg.nfut.neg,na-mu-mak-ai,na-Σ-mak-ai,na+Σ+mak+ai,n a Σ m a k ai,n a + Σ + m a k + ai,unspecified,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak289,mu,3.pl.1.pl.excl.nfut.neg,na-mu-mak-ai,na-Σ-mak-ai,na+Σ+mak+ai,n a Σ m a k ai,n a + Σ + m a k + ai,sociolect_var,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak290,mu,3.pl.1.pl.excl.nfut.neg,mu-mak-ai-ung,Σ-mak-ai-ung,Σ+mak+ai+ung,Σ m a k ai u ŋ,Σ + m a k + ai + u ŋ,unspecified,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak291,mu,3.pl.1.pl.incl.nfut.neg,na-mu-mak-ai,na-Σ-mak-ai,na+Σ+mak+ai,n a Σ m a k ai,n a + Σ + m a k + ai,unspecified,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak292,mu,3.sg.2.sg.nfut.neg,na-mu-mak,na-Σ-mak,na+Σ+mak,n a Σ m a k,n a + Σ + m a k,unspecified,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak293,mu,3.sg.2.pl.nfut.neg,na-mu-mak,na-Σ-mak,na+Σ+mak,n a Σ m a k,n a + Σ + m a k,unspecified,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak294,mu,3.sg.2.pl.nfut.neg,na-mung-mak,na-Σng-mak,na+Σ+ng+mak,n a Σ ŋ m a k,n a + Σ + ŋ + m a k,dialect_var,fusion,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak295,mu,3.pl.2.sg.nfut.neg,na-mu-mak-ai,na-Σ-mak-ai,na+Σ+mak+ai,n a Σ m a k ai,n a + Σ + m a k + ai,unspecified,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak296,mu,3.pl.2.pl.nfut.neg,na-mu-mak-ai,na-Σ-mak-ai,na+Σ+mak+ai,n a Σ m a k ai,n a + Σ + m a k + ai,unspecified,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak297,mu,3.sg.3.sg.nfut.neg,mu-mak,Σ-mak,Σ+mak,Σ m a k,Σ + m a k,unspecified,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak298,mu,3.sg.3.pl.nfut.neg,mu-mak-ai,Σ-mak-ai,Σ+mak+ai,Σ m a k ai,Σ + m a k + ai,unspecified,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak299,mu,3.pl.3.sg.nfut.neg,mu-mak-ai,Σ-mak-ai,Σ+mak+ai,Σ m a k ai,Σ + m a k + ai,unspecified,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak300,mu,3.pl.3.pl.nfut.neg,mu-mak-ai,Σ-mak-ai,Σ+mak+ai,Σ m a k ai,Σ + m a k + ai,unspecified,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
